,Full Name,Gender,Number of News Articles,Number of Founded Organizations,Number of Portfolio Companies,Number of Investments_x,Number of Partner Investments,Number of Lead Investments_x,Number of Exits_x,Number of Events_x,Operating Status,Founded Date,Closed Date,Company Type,Number of Founders,Success,Founder
15319,Vianney Brandicourt,1,1,1,0,0,0,0,0,0,1,2015,0,1,2,0,1
15320,Forrest North,1,18,1,0,0,0,0,0,0,1,2007,0,0,3,1,1
15321,Ankit Kumar,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0
15322,Sanjay Mittal,1,1,1,0,0,0,0,0,0,1,2009,0,0,3,1,1
15323,Bobby Jadhav,1,4,1,0,0,0,0,0,0,1,2009,0,0,3,1,1
15324,Dikshant Dave,1,0,1,0,0,0,0,0,0,1,2013,0,1,1,0,1
15325,Tsion Gonen,1,0,1,0,0,0,0,0,0,1,1933,0,1,1,0,1
15326,Jeannie Tarkenton,0,0,1,0,0,0,0,0,0,1,2015,0,1,2,0,1
15327,Haley Altman,0,0,1,0,0,0,0,0,0,1,2016,0,1,1,0,1
15328,Nick East,1,19,1,0,0,0,0,0,0,1,2011,0,0,3,1,1
15329,Iain Niblock,1,0,1,0,0,0,0,0,0,1,2015,0,1,2,0,1
15330,Marc-David Choukroun,1,1,1,0,0,0,0,0,1,1,2010,0,1,2,1,1
15331,Guilhem Cheron,1,0,1,0,0,0,0,0,0,1,2010,0,1,2,1,1
15332,Antonio Arocha,1,1,1,0,0,0,0,0,0,1,2009,0,1,2,0,1
15333,Manly Danh,1,0,1,0,0,0,0,0,0,1,2014,0,1,2,0,1
15334,Greg Buzulencia,1,0,1,0,0,0,0,0,0,1,2015,0,1,2,0,1
15335,Ben Preston,1,0,1,0,0,0,0,0,0,1,2015,0,1,2,0,1
15336,Martyn Gross,1,2,2,0,0,0,0,0,0,1,2013,0,1,2,0,1
15337,Nish Kukadia,1,3,1,0,0,0,0,0,0,1,2007,0,1,2,1,1
15338,Carlos Escobar,1,2,1,0,0,0,0,0,0,1,2013,0,1,1,0,1
15339,Eyal Fishler,1,1,2,0,0,0,0,0,0,1,2014,0,1,3,0,1
15340,Sean Murphy,1,1,1,0,0,0,0,0,0,1,2014,0,1,3,0,1
15341,Celso Pitta,1,1,1,0,0,0,0,0,0,0,2013,2017,1,1,0,0
15342,Nicholas Shekerdemian,1,0,1,0,0,0,0,0,0,1,2015,0,1,2,0,1
15343,Le Duc Toan Ethan,1,0,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
15344,Venus Wong,0,0,2,0,0,0,0,0,0,1,2015,0,1,3,0,1
15345,Gabriel Lim,1,0,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
15346,Rob Hall,1,0,1,0,0,0,0,0,0,1,2014,0,1,1,0,1
15347,Jordan Fishfeld,1,4,2,0,0,0,0,0,0,1,2014,0,1,2,1,1
15348,Aaron McCoy,1,0,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
15349,Tomas Salfischberger,1,5,1,0,0,0,0,0,0,1,2010,0,0,2,0,1
15350,Jhony Fung,1,2,2,0,0,0,0,0,0,0,2010,2012,1,2,0,1
15351,Justin M. Nassiri,1,1,2,0,0,0,0,0,0,1,2009,0,1,2,0,1
15352,Matthew Scott,1,1,1,0,0,0,0,0,0,1,2016,0,1,3,0,1
15353,Steve Evans,1,0,2,0,0,0,0,0,0,1,2012,0,1,1,1,1
15354,Gene Savchuk,1,0,1,0,0,0,0,0,0,1,2002,0,1,1,1,1
15355,Kjartan Olafsson,1,2,1,1,1,0,0,0,0,1,2011,0,0,2,0,1
15356,Mathias Mikkelsen,1,3,2,0,0,0,0,0,0,1,2013,0,0,1,0,1
15357,Lina Chen,0,9,1,0,0,0,0,0,4,1,2012,0,1,2,0,1
15358,Jessica Wilpon Kamel,0,1,1,0,0,0,0,0,0,1,2011,0,0,1,0,1
15359,Simo Kohonen,1,0,1,0,0,0,0,0,0,1,2014,0,1,1,0,0
15360,Campbell Kennedy,1,1,1,0,0,0,0,0,0,1,2013,0,1,3,0,1
15361,Jason McMinn,1,0,2,0,0,0,0,0,0,1,2013,0,1,3,0,1
15362,Jason McMinn,1,0,2,0,0,0,0,0,0,1,2013,0,1,3,0,1
15363,Sabry Otmani,1,0,1,0,0,0,0,0,0,1,2014,0,1,2,0,1
15364,Joonmo Kwon,1,0,1,0,0,0,0,0,0,1,2009,0,1,1,1,1
15365,Kevin McInerney,1,0,1,0,0,0,0,0,0,1,2010,0,0,2,1,1
15366,Jonathan Lipnik,1,2,1,0,0,0,0,0,0,1,2011,0,1,4,0,0
15367,Niv Yahel,1,0,1,0,0,0,0,0,0,1,2014,0,1,4,1,1
15368,Sohaib Zahid,1,5,1,0,0,0,0,0,0,1,2014,0,1,4,1,1
15369,Ansh Chaudhary,1,0,2,0,0,0,0,0,0,1,2013,0,1,2,0,1
15370,Sachin Nanavati,1,3,1,0,0,0,0,0,0,1,2010,0,1,3,1,1
15371,Tristan Hautson,1,0,1,0,0,0,0,0,0,1,2014,0,1,1,0,1
15372,Ishan Gupta,1,17,1,0,0,0,0,0,0,1,2011,0,0,3,1,0
15373,Gregory Duconge,1,0,1,0,0,0,0,0,0,1,2006,0,1,2,1,0
15374,Mike Cerrone,1,1,2,0,0,0,0,0,0,1,2011,0,1,3,1,1
15375,Richard Ray Ruiz,1,0,1,0,0,0,0,0,0,1,2010,0,0,1,0,1
15376,Pratik Saraogi,1,0,1,0,0,0,0,0,0,1,2014,0,1,3,0,1
15377,Arron Acosta,1,2,1,0,0,0,0,0,0,1,2011,0,1,4,0,1
15378,Blake Sessions,1,1,1,0,0,0,0,0,0,1,2011,0,1,4,0,1
15379,Toomas Sepp,1,0,1,0,0,0,0,0,0,1,2011,0,1,4,0,1
15380,Wei Lu,1,4,1,0,0,0,0,0,0,1,2008,0,1,3,1,1
15381,Patrick Aber,1,0,1,0,0,0,0,0,0,1,2015,0,1,2,0,1
15382,Bernard George,1,0,1,0,0,0,0,0,0,1,2015,0,1,2,0,1
15383,Bernard George,1,0,1,0,0,0,0,0,0,1,2015,0,1,2,0,1
15384,Stephane Marceau,1,18,2,1,1,0,0,0,0,1,2007,0,0,1,1,0
15385,Richard Piras,1,0,1,0,0,0,0,0,0,1,2014,0,1,2,0,1
15386,Kush Patel,1,0,1,0,0,0,0,0,1,1,2015,0,1,1,0,0
15387,Vikram Varshney,1,0,1,0,0,0,0,0,0,1,2013,0,1,2,0,1
15388,Mateo Marietti,1,1,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
15389,Matias Serebrinsky,1,0,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
15390,Rob McGinnis,1,4,2,0,0,0,0,0,0,1,2013,0,0,1,0,1
15391,Cory Wallenstein,1,22,1,1,1,0,0,1,0,1,2014,0,1,4,0,0
15392,Chris Quinn,1,4,1,0,0,0,0,0,0,1,2012,0,1,8,0,1
15393,David Mendlovic,1,0,2,0,0,0,0,0,0,1,2012,0,1,2,1,1
15394,Ryan Healy,1,7,1,0,0,0,0,0,0,1,2008,0,0,3,1,1
15395,Tony Givargis,1,0,1,0,0,0,0,0,0,1,2013,0,1,2,0,1
15396,Reza Sadri,1,0,1,0,0,0,0,0,0,1,2013,0,1,2,0,1
15397,Timothy Bean,1,0,1,0,0,0,0,0,0,1,2016,0,1,1,0,1
15398,Timothy Bean,1,0,1,0,0,0,0,0,0,1,2016,0,1,1,0,1
15399,Nader Akhnoukh,1,0,2,0,0,0,0,0,0,1,2010,0,1,3,1,1
15400,Emma Joy Obanye,0,0,1,0,0,0,0,0,0,1,2010,0,1,2,0,1
15401,Giulia Piu,0,2,2,0,0,0,0,0,0,1,2010,0,1,2,0,1
15402,Cole Harper,1,9,2,0,0,0,0,0,0,1,2010,0,0,2,0,1
15403,Marc Doering,1,0,1,0,0,0,0,0,0,1,2010,0,0,2,0,1
15404,David Jilk,1,2,1,0,0,0,0,0,0,1,2009,0,0,1,1,0
15405,David Leeds,1,6,2,0,0,0,0,0,0,1,2010,0,1,1,1,1
15406,Kishan Gupta,1,1,1,0,0,0,0,0,0,1,2013,0,1,2,0,1
15407,Kishan Gupta,1,1,1,0,0,0,0,0,0,1,2013,0,1,2,0,1
15408,Alan Coleman,1,1,1,0,0,0,0,0,0,1,2010,0,1,1,1,1
15409,Brendan Diaz,1,0,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
15410,Alon Maor,1,7,1,0,0,0,0,0,0,1,2010,0,1,2,1,1
15411,Ignacio Juarez,1,0,1,0,0,0,0,0,0,1,2009,0,1,2,0,1
15412,Ignacio Juarez,1,0,1,0,0,0,0,0,0,1,2009,0,1,2,0,1
15413,Daniel Hejl,1,0,1,0,0,0,0,0,1,1,2014,0,1,2,0,1
15414,Hubert Palan,1,0,1,0,0,0,0,0,0,1,2014,0,1,2,0,1
15415,David Bernabeu,1,0,1,0,0,0,0,0,0,1,2015,0,1,1,0,1
15416,Jonathan Vilma,1,13,1,0,0,0,0,0,0,1,2010,0,1,4,0,1
15417,Dawud Gordon,1,0,1,0,0,0,0,0,0,1,2014,0,1,2,0,1
15418,John Tanios,1,0,1,0,0,0,0,0,0,1,2014,0,1,2,0,1
15419,John Tanios,1,0,1,0,0,0,0,0,0,1,2014,0,1,2,0,1
15420,Rachel Kisler,0,0,1,0,0,0,0,0,0,1,2016,0,1,2,0,1
15421,Amarpreet Sawhney,1,2,5,1,1,0,0,0,0,1,2006,0,1,1,1,0
15422,Jay Shapiro,1,11,3,1,2,0,0,0,0,1,2010,0,0,4,1,0
15423,Molham Aref,1,3,1,0,0,0,0,0,0,1,2005,0,1,2,1,0
15424,Vincent Huguet,1,0,1,0,0,0,0,0,0,1,2013,0,1,3,1,1
15425,Jean-Baptiste LemíŒ©e,1,0,1,0,0,0,0,0,0,1,2013,0,1,3,1,1
15426,Olivier Berthelier,1,0,1,0,0,0,0,0,1,1,2007,0,1,2,1,1
15427,Matthias Wickenburg,1,0,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
15428,Robert Whirley,1,1,1,0,0,0,0,0,0,1,1998,0,0,3,1,1
15429,Pratyush Jalan,1,8,1,0,0,0,0,0,0,1,2014,0,1,1,0,1
15430,Akansh Khurana,1,0,1,0,0,0,0,0,0,1,2015,0,1,2,0,1
15431,Rinita Vanjre Ravi,0,1,1,0,0,0,0,0,0,1,2014,0,1,3,0,1
15432,Noah Abelson,1,2,1,0,0,0,0,0,0,1,2013,0,1,2,1,1
15433,T.S. Varadarajan,1,0,2,0,0,0,0,0,0,1,1992,0,1,2,1,1
15434,Diwakar Nigam,1,0,2,0,0,0,0,0,0,1,1992,0,1,2,1,1
15435,Marius Aabel,1,0,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
15436,Marius Aabel,1,0,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
15437,Sudheer Someshwara,1,1,1,0,0,0,0,0,0,1,2013,0,1,1,0,1
15438,Ehud Schwammenthal,1,0,1,0,0,0,0,0,0,1,2012,0,1,1,0,1
15439,Ehud Schwammenthal,1,0,1,0,0,0,0,0,0,1,2012,0,1,1,0,1
15440,David Rawlinson,1,1,1,0,0,0,0,0,0,1,2014,0,1,4,0,1
15441,Alok Shankar,1,3,1,0,0,0,0,0,0,1,2014,0,1,4,1,1
15442,Alok Shankar,1,3,1,0,0,0,0,0,0,1,2014,0,1,4,1,1
15443,Eldon Sprickerhoff,1,0,1,0,0,0,0,0,1,1,2001,0,1,1,1,1
15444,JP Bewley,1,1,1,0,0,0,0,0,0,1,2013,0,1,3,0,1
15445,John Morgan,1,1,1,0,0,0,0,0,0,1,2013,0,1,1,0,1
15446,Pablo Rabanal,1,0,1,0,0,0,0,0,0,1,2012,0,1,1,0,1
15447,Daniel Wetmore,1,0,3,0,0,0,0,0,0,1,2009,0,1,2,1,1
15448,Jane Velger,0,0,2,0,0,0,0,0,0,1,2013,0,1,3,0,1
15449,Nimrod Elias,1,0,2,0,0,0,0,0,0,1,2013,0,1,3,0,1
15450,Agustin Soler,1,0,1,0,0,0,0,0,0,1,2011,0,1,4,0,1
15451,Johnny Halife,1,0,1,0,0,0,0,0,1,1,2011,0,1,4,0,1
15452,Dan Parham,1,5,1,0,0,0,0,0,0,1,2011,0,0,3,0,1
15453,Candy Chang,0,3,1,0,0,0,0,0,1,1,2011,0,0,3,0,1
15454,Garrett Gottlieb,1,6,1,0,0,0,0,0,0,1,2012,0,1,3,0,1
15455,Phil Jacobson,1,8,1,0,0,0,0,0,1,1,2012,0,1,3,0,1
15456,Brian Rigney,1,10,1,0,0,0,0,0,1,1,2006,0,1,2,1,0
15457,David Compton,1,0,1,0,0,0,0,0,0,1,2011,0,1,3,0,1
15458,David Compton,1,0,1,0,0,0,0,0,0,1,2011,0,1,3,0,1
15459,Tapan Kumar Das,1,5,1,0,0,0,0,0,0,1,2013,0,1,1,0,1
15460,Tapan Kumar Das,1,5,1,0,0,0,0,0,0,1,2013,0,1,1,0,1
15461,Jonathan Schor,1,0,1,0,0,0,0,0,0,1,2013,0,1,3,0,1
15462,Jonathan Schor,1,0,1,0,0,0,0,0,0,1,2013,0,1,3,0,1
15463,Robert Green,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,1
15464,Robert Green,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,1
15465,Michael Derazon,1,0,1,0,0,0,0,0,0,1,2013,0,1,5,0,1
15466,Graham Deane,1,1,2,0,0,0,0,0,0,1,2014,0,1,3,1,1
15467,Kevin Maughan,1,1,2,0,0,0,0,0,0,1,2014,0,1,3,1,1
15468,Saeid Babaei,1,0,1,0,0,0,0,0,0,1,2010,0,1,1,0,1
15469,Saeid Babaei,1,0,1,0,0,0,0,0,0,1,2010,0,1,1,0,1
15470,Tagg Jefferson,1,1,1,0,0,0,0,0,1,1,2014,0,0,1,0,1
15471,Carl Hirschman,1,0,1,0,0,0,0,0,0,1,2012,0,1,2,0,1
15472,Carl Hirschman,1,0,1,0,0,0,0,0,0,1,2012,0,1,2,0,1
15473,Constantine Daicos,1,0,1,0,0,0,0,0,0,1,2012,0,1,1,0,1
15474,Wasiq Bokhari,1,7,1,0,0,0,0,0,0,1,2010,0,1,1,1,1
15475,Wasiq Bokhari,1,7,1,0,0,0,0,0,0,1,2010,0,1,1,1,1
15476,Liza Avramenko,0,1,1,0,0,0,0,0,0,1,2012,0,1,3,0,1
15477,Didier Perrot,1,0,1,0,0,0,0,0,0,1,2008,0,1,3,0,1
15478,Didier Perrot,1,0,1,0,0,0,0,0,0,1,2008,0,1,3,0,1
15479,Alok Bhat,1,0,1,1,1,0,0,0,0,1,2010,0,1,3,0,1
15480,Alok Bhat,1,0,1,1,1,0,0,0,0,1,2010,0,1,3,0,1
15481,Avilash behera,1,0,1,0,0,0,0,0,0,1,2010,0,1,3,0,1
15482,Brian Elias,1,9,1,0,0,0,0,0,0,1,2016,0,0,1,0,0
15483,Brian Elias,1,9,1,0,0,0,0,0,0,1,2016,0,0,1,0,0
15484,Thomas Allier,1,3,1,0,0,0,0,0,0,1,2013,0,1,5,0,0
15485,Amit Golander,1,0,1,0,0,0,0,0,0,1,2013,0,1,2,1,1
15486,Amit Golander,1,0,1,0,0,0,0,0,0,1,2013,0,1,2,1,1
15487,Anton Budidjaja,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1
15488,Anton Budidjaja,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1
15489,Michael D. Mings,1,0,1,0,0,0,0,0,0,1,2013,0,1,5,0,1
15490,Michael D. Mings,1,0,1,0,0,0,0,0,0,1,2016,0,1,0,0,1
15491,Brooke Moreland,0,19,2,0,0,0,0,0,0,1,2013,0,1,3,0,1
15492,Brooke Moreland,0,19,2,0,0,0,0,0,0,1,2013,0,1,3,0,1
15493,Paul Badawi,1,1,1,0,0,0,0,0,0,1,2010,0,0,1,1,1
15494,Paul Badawi,1,1,1,0,0,0,0,0,0,1,2010,0,0,1,1,1
15495,Nicholas I,1,0,1,0,0,0,0,0,0,1,1841,0,0,1,1,1
15496,Nicholas I,1,0,1,0,0,0,0,0,0,1,1841,0,0,1,1,1
15497,Anshul Gupta,1,125,1,0,0,0,0,0,0,1,2012,0,1,3,0,1
15498,Volkan Ertí_rk,1,0,1,0,0,0,0,0,1,1,2013,0,1,3,0,1
15499,Anthony P. Ford,1,0,1,0,0,0,0,0,0,1,2009,0,1,1,1,1
15500,Anthony P. Ford,1,0,1,0,0,0,0,0,0,1,2009,0,1,1,1,1
15501,Anthony P. Ford,1,0,1,0,0,0,0,0,0,1,2009,0,1,1,1,1
15502,Varun Agni,1,0,1,0,0,0,0,0,0,1,2014,0,1,3,0,1
15503,Vivekananda Hallekere,1,0,1,0,0,0,0,0,0,1,2014,0,1,3,0,1
15504,Dirk Schlenzig,1,2,1,0,0,0,0,0,0,1,2015,0,1,2,0,0
15505,Kendall Clark,1,0,1,0,0,0,0,0,0,1,2005,0,1,3,0,0
15506,Kendall Clark,1,0,1,0,0,0,0,0,0,1,2005,0,1,3,0,0
15507,Kendall Clark,1,0,1,0,0,0,0,0,0,1,2005,0,1,3,0,0
15508,Kendall Clark,1,0,1,0,0,0,0,0,0,1,2005,0,1,3,0,0
15509,Jagmeet Lamba,1,1,1,0,0,0,0,0,0,1,2013,0,1,1,0,1
15510,Daniel Abas,1,0,2,0,0,0,0,0,0,1,2014,0,1,2,0,1
15511,Fardeen Siddiqui,1,1,1,0,0,0,0,0,0,1,2015,0,1,2,0,1
15512,Rahil Qamar Siddiqui,0,0,1,0,0,0,0,0,0,1,2015,0,1,2,0,1
15513,Jan Baan,1,7,1,1,1,0,0,1,0,1,2001,0,0,1,1,1
15514,Jan Baan,1,7,1,1,1,0,0,1,0,1,2001,0,0,1,1,1
15515,Stephen Quake,1,5,1,0,0,0,0,0,0,1,2014,0,1,4,0,1
15516,Jhonny Jha,1,0,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
15517,Jhonny Jha,1,0,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
15518,Michael Krasman,1,6,3,0,0,0,0,0,0,1,2011,0,1,2,1,1
15519,Christina Chen,0,0,1,0,0,0,0,0,0,1,2013,0,0,2,1,1
15520,Christina Chen,0,0,1,0,0,0,0,0,0,1,2013,0,0,2,1,1
15521,Jordan Brandt,1,0,1,0,0,0,0,0,0,1,2015,0,1,2,0,1
15522,Jordan Brandt,1,0,1,0,0,0,0,0,0,1,2015,0,1,2,0,1
15523,Niket Vaidya,1,0,1,0,0,0,0,0,0,1,2013,0,1,5,0,1
15524,Niket Vaidya,1,0,1,0,0,0,0,0,0,1,2013,0,1,5,0,1
15525,Matan Gidnian,1,0,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
15526,Matan Gidnian,1,0,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
15527,Aaron Kim,1,0,1,0,0,0,0,0,0,0,2013,0,1,1,0,1
15528,Aaron Kim,1,0,1,0,0,0,0,0,0,0,2013,0,1,1,0,1
15529,Albert Subbloie,1,1,1,0,0,0,0,0,0,1,2000,0,1,1,1,1
15530,Albert Subbloie,1,1,1,0,0,0,0,0,0,1,2000,0,1,1,1,1
15531,Brent LaRue,1,0,2,0,0,0,0,0,0,1,2015,0,1,3,0,1
15532,Brent LaRue,1,0,2,0,0,0,0,0,0,1,2015,0,1,3,0,1
15533,Alex Zhou,1,0,1,0,0,0,0,0,0,1,2013,0,1,2,1,1
15534,Alex Zhou,1,0,1,0,0,0,0,0,0,1,2013,0,1,2,1,1
15535,Jose Lenine,1,0,1,0,0,0,0,0,0,1,2013,0,1,4,1,1
15536,Jose Lenine,1,0,1,0,0,0,0,0,0,1,2013,0,1,4,1,1
15537,Julia Canalini,0,0,1,0,0,0,0,0,0,1,2013,0,1,4,1,1
15538,Dan Clemo,1,0,3,0,0,0,0,0,0,1,2015,0,1,2,0,1
15539,Jason Veal,1,0,2,0,0,0,0,0,0,1,2015,0,1,2,0,1
15540,Fouad Alfarhan,1,0,3,1,1,0,0,0,0,1,2013,0,1,2,0,1
15541,Daniel Senyard,1,1,2,0,0,0,0,0,0,1,2011,0,0,2,0,1
15542,Biju Nair,1,2,1,0,0,0,0,0,0,1,2009,0,1,2,1,0
15543,Biju Nair,1,2,1,0,0,0,0,0,0,1,2009,0,1,2,1,0
15544,Nik Adhia,1,0,1,0,0,0,0,0,0,1,2013,0,1,2,0,1
15545,Nik Adhia,1,0,1,0,0,0,0,0,0,1,2013,0,1,2,0,1
15546,Ian McCarthy,1,4,1,0,0,0,0,0,0,1,2013,0,0,2,0,1
15547,Ian McCarthy,1,4,1,0,0,0,0,0,0,1,2013,0,0,2,0,1
15548,Joe Troyen,1,0,1,0,0,0,0,0,0,1,2012,0,1,3,0,1
15549,Joe Troyen,1,0,1,0,0,0,0,0,0,1,2012,0,1,3,0,1
15550,Diane Wu,0,0,1,0,0,0,0,0,0,1,2015,0,1,2,0,1
15551,Poornima Parameswaran,0,0,1,0,0,0,0,0,0,1,2015,0,1,2,0,1
15552,Pasquale Fedele,1,2,2,0,0,0,0,0,0,1,1997,0,1,1,1,1
15553,Pasquale Fedele,1,2,2,0,0,0,0,0,0,1,1997,0,1,1,1,1
15554,James Geiger,1,0,1,0,0,0,0,0,0,1,1997,0,1,1,1,0
15555,Brad Beshaw,1,0,1,0,0,0,0,0,0,1,2009,0,0,3,0,1
15556,Brad Beshaw,1,0,1,0,0,0,0,0,0,1,2009,0,0,3,0,1
15557,Rod da Silva,1,0,1,1,1,0,0,0,0,1,2013,0,1,1,0,1
15558,Rod da Silva,1,0,1,1,1,0,0,0,0,1,2013,0,1,1,0,1
15559,Chris Wood,1,2,1,0,0,0,0,0,0,1,2008,0,1,1,1,1
15560,Kwon Si,1,0,1,0,0,0,0,0,0,1,2015,0,1,1,0,1
15561,Kwon Si,1,0,1,0,0,0,0,0,0,1,2015,0,1,1,0,1
15562,Whitney Komor,0,2,1,0,0,0,0,0,0,1,2012,0,1,1,0,1
15563,Whitney Komor,0,2,1,0,0,0,0,0,0,1,2012,0,1,1,0,1
15564,Jason Tsai,1,0,2,0,0,0,0,0,0,1,2015,0,1,3,0,1
15565,Kent Mori,1,1,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
15566,Kevin Chan,1,0,1,0,0,0,0,0,0,1,2015,0,1,3,0,1
15567,Perumal Gandhi,1,1,1,0,0,0,0,0,2,1,2014,0,1,2,0,1
15568,JP Fatta,1,0,1,0,0,0,0,0,0,1,2012,0,1,3,0,1
15569,JP Fatta,1,0,1,0,0,0,0,0,0,1,2012,0,1,3,0,1
15570,Cheryl Kellond,0,7,1,0,0,0,0,0,0,1,2012,0,0,2,0,0
15571,Cheryl Kellond,0,7,1,0,0,0,0,0,0,1,2012,0,0,2,0,0
15572,Vitaliy Lim,1,0,1,0,0,0,0,0,0,1,2013,0,1,4,0,1
15573,Ivan Tsarynny,1,5,1,0,0,0,0,0,0,1,2013,0,1,4,0,1
15574,J. Winder Hughes III,1,0,1,0,0,0,0,0,0,1,2013,0,1,3,0,1
15575,J. Winder Hughes III,1,0,1,0,0,0,0,0,0,1,2013,0,1,3,0,1
15576,Jarrod Epps,1,0,1,0,0,0,0,0,0,1,2011,0,1,1,0,0
15577,Jarrod Epps,1,0,1,0,0,0,0,0,0,1,2011,0,1,1,0,0
15578,Alex Burkhart,1,3,1,0,0,0,0,0,0,1,2013,0,0,1,1,1
15579,Alex Burkhart,1,3,1,0,0,0,0,0,0,1,2013,0,0,1,1,1
15580,Dieter Dr. Sartorius,1,0,2,0,0,0,0,0,0,1,2016,0,1,4,0,1
15581,Peter Fedchenkov,1,0,1,0,0,0,0,0,0,1,2013,0,1,3,0,1
15582,LeRoy Pingho,1,1,1,0,0,0,0,0,0,1,2000,0,1,3,1,0
15583,LeRoy Pingho,1,1,1,0,0,0,0,0,0,1,2000,0,1,3,1,0
15584,Peter Liu,1,0,1,0,0,0,0,0,0,1,2016,0,1,2,0,1
15585,Peter Liu,1,0,1,0,0,0,0,0,0,1,2016,0,1,2,0,1
15586,David G. Martin,1,0,1,1,1,0,0,0,0,1,2006,0,0,2,1,0
15587,David G. Martin,1,0,1,1,1,0,0,0,0,1,2006,0,0,2,1,0
15588,Prem Bhatia,1,1,1,0,0,0,0,0,0,1,2013,0,1,3,0,1
15589,Abhishek Surana,1,0,1,0,0,0,0,0,0,1,2016,0,1,2,0,1
15590,Thomas Fiss,1,0,1,0,0,0,0,0,0,1,2016,0,1,2,0,1
15591,Thomas Fiss,1,0,1,0,0,0,0,0,0,1,2016,0,1,2,0,1
15592,Richard H Harris,1,0,1,1,3,0,0,0,0,1,2012,0,1,2,0,1
15593,Richard H Harris,1,0,1,1,3,0,0,0,0,1,2012,0,1,2,0,1
15594,Mupparaju Siva Kameswara Rao,1,0,1,0,0,0,0,0,0,1,2013,0,1,1,0,1
15595,Mupparaju Siva Kameswara Rao,1,0,1,0,0,0,0,0,0,1,2013,0,1,1,0,1
15596,Shourjya Sanyal,1,8,2,0,0,0,0,0,0,1,2016,0,1,2,0,0
15597,Luke Burtis,1,1,1,0,0,0,0,0,1,1,2011,0,1,2,0,1
15598,Luke Burtis,1,1,1,0,0,0,0,0,1,1,2011,0,1,2,0,1
15599,Bart Macdonald,1,0,1,0,0,0,0,0,0,1,0,0,1,2,0,1
15600,Bart Macdonald,1,0,1,0,0,0,0,0,0,1,0,0,1,2,0,1
15601,Bart Macdonald,1,0,1,0,0,0,0,0,0,1,0,0,1,2,0,1
15602,Andrew Crebar,1,0,1,0,0,0,0,0,0,1,0,0,1,2,0,1
15603,ANTOINE DEQUIDT,1,0,1,0,0,0,0,0,0,1,2016,0,1,2,0,1
15604,ANTOINE DEQUIDT,1,0,1,0,0,0,0,0,0,1,2016,0,1,2,0,1
15605,Joost Nauta,1,0,1,0,0,0,0,0,0,1,2010,0,0,4,0,1
15606,Joost Nauta,1,0,1,0,0,0,0,0,0,1,2010,0,0,4,0,1
15607,Ravishankar Gundlapalli,1,5,1,0,0,0,0,0,0,1,2013,0,1,2,0,1
15608,Ravishankar Gundlapalli,1,5,1,0,0,0,0,0,0,1,2013,0,1,2,0,1
15609,Neil Mandt,1,0,1,0,0,0,0,0,2,1,2015,0,1,1,1,1
15610,Nissim Lehyani,1,0,1,0,0,0,0,0,0,1,2011,0,1,2,1,1
15611,Nissim Lehyani,1,0,1,0,0,0,0,0,0,1,2011,0,1,2,1,1
15612,Jason Massey,1,5,1,0,0,0,0,0,0,1,2011,0,1,4,0,0
15613,Sol Tzvi,0,5,1,0,0,0,0,0,0,1,2008,0,1,2,1,1
15614,Sol Tzvi,0,5,1,0,0,0,0,0,0,1,2008,0,1,2,1,1
15615,Michelle Kiang,0,0,1,0,0,0,0,0,0,1,2013,0,1,5,0,0
15616,Michelle Kiang,0,0,1,0,0,0,0,0,0,1,2013,0,1,5,0,0
15617,Ashley King,0,0,1,0,0,0,0,0,0,1,2014,0,1,1,0,1
15618,Shachar Gilad,1,0,1,0,0,0,0,0,0,1,2012,0,0,2,0,1
15619,Shachar Gilad,1,0,1,0,0,0,0,0,0,1,2012,0,0,2,0,1
15620,Shachar Gilad,1,0,1,0,0,0,0,0,0,1,2012,0,0,2,0,1
15621,Shachar Gilad,1,0,1,0,0,0,0,0,0,1,2012,0,0,2,0,1
15622,Jacky Hazan,1,0,1,0,0,0,0,0,0,1,2014,0,1,1,0,1
15623,David Turner,1,0,1,0,0,0,0,0,0,1,2016,0,0,1,0,1
15624,David Turner,1,0,1,0,0,0,0,0,0,1,2016,0,0,1,0,1
15625,Arthur Chang,1,6,1,0,0,0,0,0,0,1,2014,0,0,5,0,0
15626,Arthur Chang,1,6,1,0,0,0,0,0,0,1,2014,0,0,5,0,0
15627,Klaus Koenigshausen,1,0,1,0,0,0,0,0,0,1,2013,0,1,2,0,0
